customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-TOKHU,Female,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,85.47,1620.78,Yes
6734-ZSWKK,Female,1,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),92.84,6680.08,Yes
9322-VUBXL,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,89.72,5755.04,Yes
7949-BUALZ,Male,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.62,1937.64,No
7396-LYQJP,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,93.84,5643.16,Yes
1189-OSLWT,Female,1,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.29,1192.5,No
2528-CESGU,Male,0,No,No,42,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.72,2361.08,Yes
6393-DYNRZ,Female,0,No,No,2,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.66,115.11,Yes
8513-UBTOG,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,101.66,511.52,Yes
1775-OCNQD,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,73.61,144.73,Yes
2585-HDBFV,Female,0,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),106.78,6817.73,No
4843-VRZLB,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.63,5258.56,Yes
5297-DNPOH,Female,0,No,No,8,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),63.83,506.55,Yes
8629-WYHUP,Female,1,Yes,No,12,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.23,689.13,Yes
8916-ROUXZ,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),91.58,915.43,Yes
5859-MIOMA,Female,1,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.55,1222.8,No
9006-IXALH,Male,0,No,Yes,59,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.27,5135.36,Yes
6258-SQHCC,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,96.64,4156.0,No
6892-JGZIG,Male,0,No,No,8,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.55,588.76,Yes
9392-HLBAP,Male,1,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),91.08,5007.46,No
3454-XECLH,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.25,281.56,Yes
9154-CACEO,Male,0,Yes,Yes,13,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,56.07,728.79,No
